Day, Suceptible, Exposed, Infected, Total
211, 359, 386, 256, 1001
212, 348, 391, 262, 1001
213, 361, 383, 257, 1001
214, 367, 375, 259, 1001
215, 362, 377, 262, 1001
216, 372, 363, 266, 1001
217, 366, 363, 272, 1001
218, 358, 370, 273, 1001
219, 365, 372, 264, 1001
220, 359, 372, 270, 1001
221, 355, 376, 270, 1001
222, 347, 375, 279, 1001
223, 344, 380, 277, 1001
224, 356, 368, 277, 1001
225, 353, 367, 281, 1001
226, 347, 376, 278, 1001
227, 346, 380, 275, 1001
228, 340, 391, 270, 1001
229, 335, 398, 268, 1001
230, 338, 398, 265, 1001
231, 347, 386, 268, 1001
232, 342, 385, 274, 1001
233, 346, 390, 265, 1001
234, 345, 401, 255, 1001
235, 343, 407, 251, 1001
236, 349, 412, 240, 1001
237, 348, 406, 247, 1001
238, 344, 408, 249, 1001
239, 351, 405, 245, 1001
240, 350, 397, 254, 1001
241, 351, 386, 264, 1001
242, 350, 384, 267, 1001
243, 341, 387, 273, 1001
244, 350, 389, 262, 1001
245, 355, 384, 262, 1001
246, 360, 378, 263, 1001
247, 351, 378, 272, 1001
248, 342, 373, 286, 1001
249, 343, 369, 289, 1001
250, 334, 367, 300, 1001
251, 337, 373, 291, 1001
252, 351, 361, 289, 1001
253, 356, 362, 283, 1001
254, 360, 357, 284, 1001
255, 364, 355, 282, 1001
256, 359, 365, 277, 1001
257, 364, 364, 273, 1001
258, 357, 355, 289, 1001
259, 362, 356, 283, 1001
260, 355, 371, 275, 1001
261, 352, 379, 270, 1001
262, 357, 384, 260, 1001
263, 354, 385, 262, 1001
264, 351, 397, 253, 1001
265, 347, 394, 260, 1001
266, 347, 398, 256, 1001
267, 344, 397, 260, 1001
268, 351, 392, 258, 1001
269, 362, 388, 251, 1001
270, 355, 391, 255, 1001
271, 349, 394, 258, 1001
272, 356, 403, 242, 1001
273, 359, 402, 240, 1001
274, 353, 404, 244, 1001
275, 345, 405, 251, 1001
276, 342, 401, 258, 1001
277, 344, 407, 250, 1001
278, 333, 413, 255, 1001
279, 340, 406, 255, 1001
280, 336, 397, 268, 1001
281, 335, 395, 271, 1001
282, 338, 392, 271, 1001
283, 339, 384, 278, 1001
284, 337, 381, 283, 1001
285, 329, 391, 281, 1001
286, 326, 382, 293, 1001
287, 326, 380, 295, 1001
288, 323, 385, 293, 1001
289, 331, 386, 284, 1001
290, 333, 387, 281, 1001
291, 326, 387, 288, 1001
292, 318, 393, 290, 1001
293, 319, 396, 286, 1001
294, 324, 400, 277, 1001
295, 325, 399, 277, 1001
296, 335, 391, 275, 1001
297, 341, 388, 272, 1001
298, 346, 384, 271, 1001
299, 337, 397, 267, 1001
300, 339, 395, 267, 1001
301, 334, 398, 269, 1001
302, 339, 391, 271, 1001
303, 331, 396, 274, 1001
304, 335, 393, 273, 1001
305, 332, 391, 278, 1001
306, 335, 394, 272, 1001
307, 333, 395, 273, 1001
308, 342, 385, 274, 1001
309, 348, 388, 265, 1001
310, 349, 385, 267, 1001
311, 356, 377, 268, 1001
312, 360, 371, 270, 1001
313, 350, 375, 276, 1001
314, 360, 361, 280, 1001
315, 361, 359, 281, 1001
316, 362, 365, 274, 1001
317, 355, 370, 276, 1001
318, 349, 378, 274, 1001
319, 350, 378, 273, 1001
320, 341, 380, 280, 1001
321, 339, 375, 287, 1001
322, 332, 392, 277, 1001
323, 328, 389, 284, 1001
324, 335, 387, 279, 1001
325, 340, 379, 282, 1001
326, 348, 380, 273, 1001
327, 348, 381, 272, 1001
328, 353, 389, 259, 1001
329, 354, 393, 254, 1001
330, 341, 399, 261, 1001
331, 345, 399, 257, 1001
332, 350, 394, 257, 1001
333, 361, 386, 254, 1001
334, 355, 400, 246, 1001
335, 351, 408, 242, 1001
336, 347, 406, 248, 1001
337, 353, 398, 250, 1001
338, 352, 390, 259, 1001
339, 356, 385, 260, 1001
340, 346, 389, 266, 1001
341, 343, 391, 267, 1001
342, 334, 383, 284, 1001
343, 333, 383, 285, 1001
344, 327, 393, 281, 1001
345, 324, 393, 284, 1001
346, 324, 395, 282, 1001
347, 331, 392, 278, 1001
348, 325, 389, 287, 1001
349, 324, 389, 288, 1001
350, 323, 383, 295, 1001
351, 327, 388, 286, 1001
352, 339, 389, 273, 1001
353, 342, 397, 262, 1001
354, 350, 385, 266, 1001
355, 343, 383, 275, 1001
356, 354, 385, 262, 1001
357, 359, 383, 259, 1001
358, 348, 391, 262, 1001
359, 348, 387, 266, 1001
360, 346, 380, 275, 1001
361, 345, 379, 277, 1001
362, 342, 381, 278, 1001
363, 338, 388, 275, 1001
364, 339, 387, 275, 1001
365, 339, 384, 278, 1001
