Day, Suceptible, Exposed, Infected, Total
0, 1000, 0, 1, 1001
1, 1000, 0, 1, 1001
2, 999, 1, 1, 1001
3, 999, 1, 1, 1001
4, 999, 1, 1, 1001
5, 999, 1, 1, 1001
6, 999, 1, 1, 1001
7, 998, 2, 1, 1001
8, 998, 2, 1, 1001
9, 998, 2, 1, 1001
10, 998, 2, 1, 1001
11, 997, 3, 1, 1001
12, 997, 3, 1, 1001
13, 997, 3, 1, 1001
14, 998, 3, 0, 1001
15, 998, 3, 0, 1001
16, 998, 3, 0, 1001
17, 998, 3, 0, 1001
18, 998, 3, 0, 1001
19, 998, 3, 0, 1001
20, 998, 3, 0, 1001
21, 998, 3, 0, 1001
22, 998, 2, 1, 1001
23, 998, 2, 1, 1001
24, 997, 3, 1, 1001
25, 996, 4, 1, 1001
26, 996, 4, 1, 1001
27, 996, 3, 2, 1001
28, 995, 4, 2, 1001
29, 995, 4, 2, 1001
30, 995, 4, 2, 1001
31, 994, 4, 3, 1001
32, 994, 4, 3, 1001
33, 994, 4, 3, 1001
34, 994, 4, 3, 1001
35, 994, 4, 3, 1001
36, 993, 6, 2, 1001
37, 992, 7, 2, 1001
38, 992, 7, 2, 1001
39, 992, 7, 2, 1001
40, 992, 7, 2, 1001
41, 993, 7, 1, 1001
42, 993, 7, 1, 1001
43, 993, 7, 1, 1001
44, 993, 6, 2, 1001
45, 994, 5, 2, 1001
46, 993, 6, 2, 1001
47, 993, 6, 2, 1001
48, 993, 5, 3, 1001
49, 992, 6, 3, 1001
50, 992, 6, 3, 1001
51, 992, 5, 4, 1001
52, 990, 7, 4, 1001
53, 989, 8, 4, 1001
54, 986, 11, 4, 1001
55, 984, 13, 4, 1001
56, 982, 13, 6, 1001
57, 981, 13, 7, 1001
58, 982, 13, 6, 1001
59, 981, 15, 5, 1001
60, 981, 15, 5, 1001
61, 979, 17, 5, 1001
62, 979, 18, 4, 1001
63, 977, 20, 4, 1001
64, 977, 20, 4, 1001
65, 978, 20, 3, 1001
66, 978, 19, 4, 1001
67, 976, 21, 4, 1001
68, 975, 22, 4, 1001
69, 973, 23, 5, 1001
70, 973, 25, 3, 1001
71, 973, 26, 2, 1001
72, 972, 25, 4, 1001
73, 972, 24, 5, 1001
74, 970, 23, 8, 1001
75, 970, 21, 10, 1001
76, 968, 21, 12, 1001
77, 967, 21, 13, 1001
78, 964, 24, 13, 1001
79, 960, 26, 15, 1001
80, 957, 30, 14, 1001
81, 956, 29, 16, 1001
82, 954, 30, 17, 1001
83, 952, 31, 18, 1001
84, 947, 36, 18, 1001
85, 945, 38, 18, 1001
86, 940, 45, 16, 1001
87, 936, 48, 17, 1001
88, 933, 53, 15, 1001
89, 932, 54, 15, 1001
90, 932, 54, 15, 1001
91, 928, 58, 15, 1001
92, 923, 62, 16, 1001
93, 921, 66, 14, 1001
94, 919, 66, 16, 1001
95, 918, 69, 14, 1001
96, 917, 69, 15, 1001
97, 917, 70, 14, 1001
98, 910, 74, 17, 1001
99, 906, 74, 21, 1001
100, 904, 72, 25, 1001
101, 902, 75, 24, 1001
102, 895, 81, 25, 1001
103, 895, 80, 26, 1001
104, 888, 84, 29, 1001
105, 884, 87, 30, 1001
106, 881, 84, 36, 1001
107, 874, 86, 41, 1001
108, 865, 91, 45, 1001
109, 854, 99, 48, 1001
110, 849, 104, 48, 1001
111, 840, 109, 52, 1001
112, 835, 112, 54, 1001
113, 833, 114, 54, 1001
114, 825, 124, 52, 1001
115, 812, 135, 54, 1001
116, 806, 141, 54, 1001
117, 798, 150, 53, 1001
118, 794, 152, 55, 1001
119, 789, 155, 57, 1001
120, 788, 161, 52, 1001
121, 785, 165, 51, 1001
122, 784, 164, 53, 1001
123, 782, 167, 52, 1001
124, 779, 163, 59, 1001
125, 772, 170, 59, 1001
126, 769, 174, 58, 1001
127, 760, 180, 61, 1001
128, 756, 175, 70, 1001
129, 745, 178, 78, 1001
130, 740, 178, 83, 1001
131, 733, 177, 91, 1001
132, 727, 182, 92, 1001
133, 721, 186, 94, 1001
134, 708, 189, 104, 1001
135, 693, 194, 114, 1001
136, 685, 202, 114, 1001
137, 671, 207, 123, 1001
138, 663, 215, 123, 1001
139, 648, 228, 125, 1001
140, 634, 238, 129, 1001
141, 619, 252, 130, 1001
142, 615, 260, 126, 1001
143, 605, 276, 120, 1001
144, 593, 290, 118, 1001
145, 593, 288, 120, 1001
146, 587, 294, 120, 1001
147, 584, 290, 127, 1001
148, 582, 298, 121, 1001
149, 587, 293, 121, 1001
150, 586, 295, 120, 1001
151, 580, 303, 118, 1001
152, 574, 305, 122, 1001
153, 564, 312, 125, 1001
154, 565, 304, 132, 1001
155, 557, 301, 143, 1001
156, 551, 298, 152, 1001
157, 532, 306, 163, 1001
158, 516, 310, 175, 1001
159, 503, 315, 183, 1001
160, 497, 311, 193, 1001
161, 490, 309, 202, 1001
162, 479, 311, 211, 1001
163, 476, 307, 218, 1001
164, 455, 316, 230, 1001
165, 443, 327, 231, 1001
166, 436, 333, 232, 1001
167, 425, 345, 231, 1001
168, 415, 356, 230, 1001
169, 417, 364, 220, 1001
170, 405, 383, 213, 1001
171, 405, 382, 214, 1001
172, 403, 386, 212, 1001
173, 411, 381, 209, 1001
174, 406, 397, 198, 1001
175, 420, 389, 192, 1001
176, 422, 389, 190, 1001
177, 427, 381, 193, 1001
178, 425, 381, 195, 1001
179, 415, 376, 210, 1001
180, 406, 385, 210, 1001
