Day, Suceptible, Exposed, Infected, Total
0, 1000, 0, 1, 1001
1, 999, 1, 1, 1001
2, 999, 1, 1, 1001
3, 999, 1, 1, 1001
4, 998, 2, 1, 1001
5, 998, 2, 1, 1001
6, 998, 2, 1, 1001
7, 998, 2, 1, 1001
8, 998, 2, 1, 1001
9, 998, 2, 1, 1001
10, 998, 2, 1, 1001
11, 998, 2, 1, 1001
12, 998, 2, 1, 1001
13, 998, 2, 1, 1001
14, 999, 2, 0, 1001
15, 999, 2, 0, 1001
16, 999, 2, 0, 1001
17, 999, 2, 0, 1001
18, 999, 2, 0, 1001
19, 999, 2, 0, 1001
20, 999, 2, 0, 1001
21, 999, 1, 1, 1001
22, 999, 1, 1, 1001
23, 999, 1, 1, 1001
24, 999, 0, 2, 1001
25, 999, 0, 2, 1001
26, 998, 1, 2, 1001
27, 998, 1, 2, 1001
28, 998, 1, 2, 1001
29, 996, 3, 2, 1001
30, 996, 3, 2, 1001
31, 996, 3, 2, 1001
32, 996, 3, 2, 1001
33, 996, 3, 2, 1001
34, 996, 3, 2, 1001
35, 996, 4, 1, 1001
36, 996, 4, 1, 1001
37, 996, 4, 1, 1001
38, 997, 4, 0, 1001
39, 997, 4, 0, 1001
40, 997, 4, 0, 1001
41, 997, 4, 0, 1001
42, 997, 4, 0, 1001
43, 997, 4, 0, 1001
44, 997, 4, 0, 1001
45, 997, 4, 0, 1001
46, 997, 3, 1, 1001
47, 997, 3, 1, 1001
48, 997, 3, 1, 1001
49, 997, 1, 3, 1001
50, 997, 1, 3, 1001
51, 995, 3, 3, 1001
52, 995, 3, 3, 1001
53, 995, 3, 3, 1001
54, 995, 3, 3, 1001
55, 995, 2, 4, 1001
56, 993, 4, 4, 1001
57, 991, 6, 4, 1001
58, 988, 9, 4, 1001
59, 988, 9, 4, 1001
60, 989, 9, 3, 1001
61, 989, 9, 3, 1001
62, 989, 9, 3, 1001
63, 991, 9, 1, 1001
64, 991, 9, 1, 1001
65, 990, 10, 1, 1001
66, 990, 10, 1, 1001
67, 990, 10, 1, 1001
68, 988, 12, 1, 1001
69, 988, 13, 0, 1001
70, 988, 13, 0, 1001
71, 988, 11, 2, 1001
72, 987, 12, 2, 1001
73, 987, 12, 2, 1001
74, 986, 13, 2, 1001
75, 986, 13, 2, 1001
76, 986, 11, 4, 1001
77, 986, 9, 6, 1001
78, 985, 7, 9, 1001
79, 984, 8, 9, 1001
80, 983, 9, 9, 1001
81, 980, 12, 9, 1001
82, 979, 13, 9, 1001
83, 977, 15, 9, 1001
84, 971, 21, 9, 1001
85, 971, 22, 8, 1001
86, 971, 22, 8, 1001
87, 968, 25, 8, 1001
88, 964, 27, 10, 1001
89, 963, 27, 11, 1001
90, 963, 29, 9, 1001
91, 965, 29, 7, 1001
92, 967, 29, 5, 1001
93, 966, 30, 5, 1001
94, 966, 29, 6, 1001
95, 966, 29, 6, 1001
96, 963, 32, 6, 1001
97, 961, 34, 6, 1001
98, 959, 35, 7, 1001
99, 959, 35, 7, 1001
100, 958, 35, 8, 1001
101, 957, 33, 11, 1001
102, 955, 36, 10, 1001
103, 955, 35, 11, 1001
104, 953, 31, 17, 1001
105, 948, 34, 19, 1001
106, 947, 36, 18, 1001
107, 944, 36, 21, 1001
108, 939, 38, 24, 1001
109, 935, 41, 25, 1001
110, 927, 47, 27, 1001
111, 918, 56, 27, 1001
112, 913, 61, 27, 1001
113, 907, 67, 27, 1001
114, 903, 72, 26, 1001
