0, 99, 0, 1, 
1, 99, 0, 1, 
2, 99, 0, 1, 
3, 99, 1, 0, 
4, 99, 0, 1, 
5, 98, 1, 1, 
6, 98, 1, 1, 
7, 98, 0, 2, 
8, 98, 0, 2, 
9, 98, 0, 2, 
10, 98, 0, 2, 
11, 98, 0, 2, 
12, 96, 2, 2, 
13, 96, 1, 3, 
14, 95, 1, 4, 
15, 96, 1, 3, 
16, 97, 1, 2, 
17, 97, 0, 3, 
18, 97, 0, 3, 
19, 97, 0, 3, 
20, 96, 1, 3, 
21, 95, 2, 3, 
22, 94, 2, 4, 
23, 93, 3, 4, 
24, 93, 0, 7, 
25, 92, 2, 6, 
26, 91, 2, 7, 
27, 89, 3, 8, 
28, 88, 2, 10, 
29, 88, 3, 9, 
30, 89, 2, 9, 
31, 89, 2, 9, 
32, 88, 3, 9, 
33, 89, 2, 9, 
34, 87, 3, 10, 
35, 87, 4, 9, 
36, 86, 4, 10, 
37, 87, 3, 10, 
38, 88, 1, 11, 
39, 87, 3, 10, 
40, 87, 2, 11, 
41, 87, 3, 10, 
42, 86, 3, 11, 
43, 85, 4, 11, 
44, 85, 1, 14, 
45, 85, 0, 15, 
46, 84, 1, 15, 
47, 85, 0, 15, 
48, 84, 1, 15, 
49, 85, 1, 14, 
50, 85, 2, 13, 
51, 85, 0, 15, 
52, 87, 0, 13, 
53, 87, 1, 12, 
54, 87, 2, 11, 
55, 87, 1, 12, 
56, 87, 0, 13, 
57, 88, 1, 11, 
58, 86, 2, 12, 
59, 86, 1, 13, 
60, 84, 5, 11, 
61, 82, 6, 12, 
62, 82, 3, 15, 
63, 83, 1, 16, 
64, 84, 1, 15, 
65, 83, 2, 15, 
66, 82, 3, 15, 
67, 82, 4, 14, 
68, 81, 4, 15, 
69, 84, 1, 15, 
70, 85, 1, 14, 
71, 84, 2, 14, 
72, 82, 3, 15, 
73, 82, 3, 15, 
74, 82, 5, 13, 
75, 83, 4, 13, 
76, 85, 1, 14, 
77, 86, 1, 13, 
78, 88, 1, 11, 
79, 85, 3, 12, 
