Day, Suceptible, Exposed, Infected
216, 665, 44, 292 
217, 666, 44, 291 
218, 674, 33, 294 
219, 678, 33, 290 
220, 685, 31, 285 
221, 691, 32, 278 
222, 692, 43, 266 
223, 694, 48, 259 
224, 699, 38, 264 
225, 700, 39, 262 
226, 691, 45, 265 
227, 685, 49, 267 
228, 682, 39, 280 
229, 677, 44, 280 
230, 685, 36, 280 
231, 681, 38, 282 
232, 684, 36, 281 
233, 697, 34, 270 
234, 688, 40, 273 
235, 692, 39, 270 
236, 687, 42, 272 
237, 679, 42, 280 
238, 682, 49, 270 
239, 682, 49, 270 
240, 673, 49, 279 
241, 680, 46, 275 
242, 682, 44, 275 
243, 685, 35, 281 
244, 687, 37, 277 
245, 680, 41, 280 
246, 669, 41, 291 
247, 669, 36, 296 
248, 652, 49, 300 
249, 672, 31, 298 
250, 680, 27, 294 
251, 678, 41, 282 
252, 680, 40, 281 
253, 676, 45, 280 
254, 681, 41, 279 
255, 672, 38, 291 
256, 666, 44, 291 
257, 658, 46, 297 
258, 662, 41, 298 
259, 662, 36, 303 
260, 663, 43, 295 
261, 663, 43, 295 
262, 665, 36, 300 
263, 667, 37, 297 
264, 667, 35, 299 
265, 671, 41, 289 
266, 664, 36, 301 
267, 680, 27, 294 
268, 684, 37, 280 
269, 679, 47, 275 
270, 680, 43, 278 
271, 676, 47, 278 
272, 672, 51, 278 
273, 668, 48, 285 
274, 669, 41, 291 
275, 676, 36, 289 
276, 672, 40, 289 
277, 678, 35, 288 
278, 663, 48, 290 
279, 679, 28, 294 
280, 681, 34, 286 
281, 680, 41, 280 
282, 684, 44, 273 
283, 693, 47, 261 
284, 693, 43, 265 
285, 686, 40, 275 
286, 684, 41, 276 
287, 687, 35, 279 
288, 685, 38, 278 
289, 677, 46, 278 
290, 674, 38, 289 
291, 669, 43, 289 
292, 670, 40, 291 
293, 672, 46, 283 
294, 674, 35, 292 
295, 675, 39, 287 
296, 680, 41, 280 
297, 684, 32, 285 
298, 694, 26, 281 
299, 696, 40, 265 
300, 716, 19, 266 
301, 719, 30, 252 
302, 709, 38, 254 
303, 697, 47, 257 
304, 692, 40, 269 
305, 693, 39, 269 
306, 681, 45, 275 
307, 680, 39, 282 
308, 685, 32, 284 
309, 685, 30, 286 
310, 688, 33, 280 
311, 685, 38, 278 
312, 688, 40, 273 
313, 698, 35, 268 
314, 700, 40, 261 
315, 706, 29, 266 
316, 700, 43, 258 
317, 703, 39, 259 
318, 708, 28, 265 
319, 702, 43, 256 
320, 705, 35, 261 
321, 693, 41, 267 
322, 687, 42, 272 
323, 691, 33, 277 
324, 697, 25, 279 
325, 694, 34, 273 
326, 689, 46, 266 
327, 687, 48, 266 
328, 695, 40, 266 
329, 684, 46, 271 
330, 680, 49, 272 
331, 684, 35, 282 
332, 682, 45, 274 
333, 678, 40, 283 
334, 680, 39, 282 
335, 683, 41, 277 
336, 686, 40, 275 
337, 691, 34, 276 
338, 684, 40, 277 
339, 675, 44, 282 
340, 668, 52, 281 
341, 673, 47, 281 
342, 676, 44, 281 
343, 671, 51, 279 
344, 676, 45, 280 
345, 689, 36, 276 
346, 681, 46, 274 
347, 682, 37, 282 
348, 680, 36, 285 
349, 683, 39, 279 
350, 678, 43, 280 
351, 684, 33, 284 
352, 680, 37, 284 
353, 684, 39, 278 
354, 679, 41, 281 
355, 677, 37, 287 
356, 675, 41, 285 
357, 675, 49, 277 
358, 679, 42, 280 
359, 675, 45, 281 
360, 674, 49, 278 
361, 670, 46, 285 
362, 672, 35, 294 
363, 671, 44, 286 
364, 674, 39, 288 
365, 672, 43, 286 
