Day, Suceptible, Exposed, Infected
0, 1000, 0, 1 
1, 1000, 0, 1 
2, 999, 1, 1 
3, 997, 2, 2 
4, 996, 2, 3 
5, 995, 3, 3 
6, 995, 1, 5 
7, 994, 3, 4 
8, 991, 4, 6 
9, 991, 3, 7 
10, 991, 2, 8 
11, 992, 1, 8 
12, 993, 0, 8 
13, 993, 1, 7 
14, 994, 0, 7 
15, 994, 0, 7 
16, 994, 1, 6 
17, 995, 1, 5 
18, 995, 3, 3 
19, 994, 3, 4 
20, 992, 3, 6 
21, 991, 2, 8 
22, 992, 0, 9 
23, 991, 1, 9 
24, 989, 3, 9 
25, 991, 1, 9 
26, 990, 1, 10 
27, 991, 1, 9 
28, 991, 0, 10 
29, 989, 2, 10 
30, 988, 2, 11 
31, 991, 2, 8 
32, 992, 2, 7 
33, 992, 2, 7 
34, 991, 3, 7 
35, 990, 3, 8 
36, 989, 3, 9 
37, 989, 4, 8 
38, 985, 8, 8 
39, 985, 2, 14 
40, 985, 3, 13 
41, 983, 5, 13 
42, 983, 3, 15 
43, 980, 5, 16 
44, 978, 4, 19 
45, 972, 8, 21 
46, 969, 5, 27 
47, 969, 6, 26 
48, 968, 4, 29 
49, 964, 5, 32 
50, 962, 7, 32 
51, 961, 8, 32 
52, 960, 6, 35 
53, 963, 7, 31 
54, 957, 9, 35 
55, 951, 12, 38 
56, 950, 10, 41 
57, 954, 6, 41 
58, 949, 9, 43 
59, 945, 12, 44 
60, 947, 7, 47 
61, 948, 6, 47 
62, 941, 13, 47 
63, 943, 7, 51 
64, 940, 8, 53 
65, 938, 7, 56 
66, 941, 6, 54 
67, 939, 6, 56 
68, 937, 8, 56 
69, 936, 9, 56 
70, 936, 8, 57 
71, 940, 6, 55 
72, 939, 7, 55 
73, 943, 8, 50 
74, 944, 10, 47 
75, 944, 13, 44 
76, 939, 13, 49 
77, 932, 15, 54 
78, 928, 14, 59 
79, 925, 14, 62 
80, 920, 16, 65 
81, 918, 15, 68 
82, 910, 19, 72 
83, 908, 16, 77 
84, 905, 14, 82 
85, 903, 13, 85 
86, 906, 12, 83 
87, 901, 16, 84 
88, 904, 9, 88 
89, 901, 15, 85 
90, 901, 20, 80 
91, 895, 23, 83 
92, 890, 26, 85 
93, 882, 25, 94 
94, 881, 21, 99 
95, 880, 17, 104 
96, 874, 24, 103 
97, 868, 26, 107 
98, 871, 27, 103 
99, 868, 20, 113 
100, 867, 20, 114 
101, 867, 18, 116 
102, 858, 25, 118 
103, 850, 27, 124 
104, 846, 24, 131 
105, 843, 22, 136 
106, 845, 23, 133 
107, 842, 27, 132 
108, 841, 24, 136 
109, 842, 22, 137 
110, 841, 19, 141 
111, 833, 28, 140 
112, 830, 30, 141 
113, 829, 30, 142 
114, 834, 22, 145 
115, 838, 22, 141 
116, 846, 18, 137 
117, 843, 24, 134 
118, 841, 22, 138 
119, 838, 23, 140 
120, 840, 18, 143 
121, 837, 26, 138 
122, 835, 18, 148 
123, 836, 21, 144 
124, 832, 23, 146 
125, 827, 31, 143 
126, 831, 27, 143 
127, 829, 29, 143 
128, 822, 30, 149 
129, 828, 21, 152 
130, 824, 23, 154 
131, 820, 29, 152 
132, 822, 23, 156 
133, 828, 24, 149 
134, 832, 22, 147 
135, 833, 19, 149 
136, 830, 18, 153 
137, 828, 20, 153 
138, 818, 32, 151 
139, 814, 29, 158 
140, 818, 24, 159 
141, 810, 29, 162 
142, 806, 24, 171 
143, 802, 31, 168 
144, 801, 25, 175 
145, 795, 36, 170 
146, 790, 29, 182 
147, 790, 34, 177 
148, 791, 31, 179 
149, 792, 30, 179 
150, 781, 38, 182 
151, 786, 30, 185 
152, 774, 34, 193 
153, 778, 28, 195 
154, 776, 35, 190 
155, 782, 36, 183 
156, 775, 35, 191 
157, 778, 32, 191 
158, 769, 36, 196 
159, 762, 35, 204 
160, 765, 31, 205 
161, 766, 28, 207 
162, 759, 28, 214 
163, 753, 31, 217 
164, 763, 20, 218 
165, 762, 25, 214 
166, 762, 26, 213 
167, 757, 32, 212 
168, 759, 30, 212 
169, 759, 32, 210 
170, 754, 33, 214 
171, 756, 27, 218 
172, 757, 33, 211 
173, 757, 35, 209 
174, 754, 29, 218 
175, 756, 25, 220 
176, 747, 32, 222 
177, 744, 36, 221 
178, 736, 37, 228 
179, 738, 30, 233 
180, 736, 33, 232 
181, 732, 36, 233 
182, 736, 26, 239 
183, 730, 39, 232 
184, 728, 37, 236 
185, 726, 41, 234 
186, 731, 32, 238 
187, 731, 38, 232 
188, 727, 39, 235 
189, 722, 37, 242 
190, 712, 40, 249 
191, 701, 36, 264 
192, 710, 32, 259 
193, 705, 48, 248 
194, 704, 55, 242 
195, 694, 49, 258 
196, 679, 51, 271 
197, 673, 49, 279 
198, 676, 40, 285 
199, 681, 35, 285 
200, 678, 39, 284 
201, 675, 46, 280 
202, 673, 41, 287 
203, 666, 46, 289 
204, 670, 38, 293 
205, 675, 37, 289 
206, 675, 38, 288 
207, 665, 44, 292 
208, 669, 37, 295 
209, 663, 38, 300 
210, 668, 41, 292 
211, 669, 40, 292 
212, 675, 36, 290 
213, 674, 38, 289 
214, 671, 32, 298 
215, 668, 37, 296 
