Day, Suceptible, Exposed, Infected
0, 1000, 0, 1 
1, 1000, 0, 1 
2, 998, 2, 1 
3, 998, 1, 2 
4, 996, 3, 2 
5, 995, 2, 4 
6, 995, 1, 5 
7, 995, 0, 6 
8, 995, 1, 5 
9, 994, 1, 6 
10, 993, 2, 6 
11, 993, 0, 8 
12, 992, 2, 7 
13, 993, 1, 7 
14, 992, 1, 8 
15, 992, 1, 8 
16, 993, 0, 8 
17, 993, 1, 7 
18, 993, 2, 6 
19, 993, 2, 6 
20, 993, 4, 4 
21, 994, 2, 5 
22, 992, 4, 5 
23, 992, 4, 5 
24, 992, 2, 7 
25, 994, 1, 6 
26, 991, 3, 7 
27, 992, 1, 8 
28, 992, 2, 7 
29, 992, 1, 8 
30, 992, 0, 9 
31, 991, 1, 9 
32, 991, 0, 10 
33, 990, 2, 9 
34, 990, 2, 9 
35, 991, 2, 8 
36, 991, 1, 9 
37, 991, 1, 9 
38, 992, 0, 9 
39, 992, 0, 9 
40, 990, 2, 9 
41, 990, 1, 10 
42, 988, 3, 10 
43, 987, 5, 9 
44, 987, 3, 11 
45, 986, 3, 12 
46, 984, 4, 13 
47, 985, 3, 13 
48, 983, 4, 14 
49, 982, 3, 16 
50, 983, 3, 15 
51, 982, 4, 15 
52, 981, 6, 14 
53, 980, 3, 18 
54, 980, 3, 18 
55, 975, 5, 21 
56, 974, 5, 22 
57, 972, 7, 22 
58, 971, 8, 22 
59, 968, 5, 28 
60, 966, 8, 27 
61, 964, 9, 28 
62, 956, 15, 30 
63, 958, 9, 34 
64, 959, 7, 35 
65, 960, 3, 38 
66, 961, 3, 37 
67, 957, 5, 39 
68, 960, 2, 39 
69, 961, 4, 36 
70, 963, 5, 33 
71, 961, 8, 32 
72, 958, 9, 34 
73, 954, 10, 37 
74, 954, 5, 42 
75, 953, 6, 42 
76, 947, 11, 43 
77, 950, 7, 44 
78, 950, 9, 42 
79, 948, 9, 44 
80, 945, 11, 45 
81, 942, 10, 49 
82, 941, 9, 51 
83, 943, 5, 53 
84, 942, 5, 54 
85, 940, 8, 53 
86, 938, 9, 54 
87, 931, 16, 54 
88, 921, 18, 62 
89, 920, 13, 68 
90, 916, 14, 71 
91, 909, 18, 74 
92, 912, 17, 72 
93, 911, 15, 75 
94, 905, 17, 79 
95, 915, 12, 74 
96, 916, 9, 76 
97, 911, 16, 74 
98, 909, 19, 73 
99, 906, 19, 76 
100, 904, 19, 78 
101, 898, 19, 84 
102, 900, 10, 91 
103, 900, 14, 87 
104, 894, 17, 90 
105, 891, 15, 95 
106, 888, 14, 99 
107, 883, 23, 95 
108, 884, 19, 98 
109, 878, 21, 102 
110, 879, 17, 105 
111, 876, 18, 107 
112, 877, 14, 110 
113, 878, 14, 109 
114, 876, 18, 107 
115, 877, 18, 106 
116, 878, 17, 106 
117, 877, 18, 106 
118, 872, 20, 109 
119, 867, 20, 114 
120, 860, 24, 117 
121, 854, 27, 120 
122, 851, 22, 128 
123, 850, 19, 132 
124, 843, 25, 133 
125, 840, 20, 141 
126, 840, 19, 142 
127, 830, 28, 143 
128, 825, 30, 146 
129, 838, 19, 144 
130, 845, 17, 139 
131, 840, 28, 133 
132, 829, 33, 139 
133, 829, 33, 139 
134, 831, 29, 141 
135, 831, 24, 146 
136, 826, 26, 149 
137, 825, 20, 156 
138, 825, 20, 156 
139, 826, 21, 154 
140, 824, 29, 148 
141, 826, 22, 153 
142, 826, 24, 151 
143, 815, 32, 154 
144, 812, 30, 159 
145, 810, 32, 159 
146, 801, 33, 167 
147, 799, 33, 169 
148, 792, 38, 171 
149, 791, 23, 187 
150, 786, 24, 191 
151, 775, 33, 193 
152, 774, 36, 191 
153, 765, 40, 196 
154, 765, 33, 203 
155, 756, 36, 209 
156, 746, 38, 217 
157, 743, 31, 227 
158, 738, 38, 225 
159, 738, 38, 225 
160, 732, 37, 232 
161, 728, 39, 234 
162, 735, 35, 231 
163, 732, 33, 236 
164, 728, 39, 234 
165, 723, 35, 243 
166, 721, 39, 241 
167, 720, 41, 240 
168, 718, 50, 233 
169, 716, 46, 239 
170, 715, 40, 246 
171, 717, 33, 251 
172, 710, 40, 251 
173, 710, 45, 246 
174, 709, 37, 255 
175, 705, 35, 261 
176, 712, 27, 262 
177, 703, 41, 257 
178, 692, 47, 262 
179, 692, 43, 266 
180, 688, 40, 273 
181, 688, 43, 270 
182, 696, 35, 270 
183, 691, 35, 275 
184, 693, 34, 274 
185, 705, 33, 263 
186, 700, 41, 260 
187, 694, 44, 263 
188, 702, 36, 263 
189, 694, 37, 270 
190, 692, 40, 269 
191, 679, 49, 273 
192, 682, 42, 277 
193, 683, 39, 279 
194, 678, 49, 274 
195, 679, 43, 279 
196, 685, 42, 274 
197, 686, 40, 275 
198, 690, 34, 277 
199, 686, 36, 279 
200, 682, 43, 276 
201, 675, 46, 280 
202, 670, 48, 283 
203, 673, 46, 282 
204, 667, 50, 284 
205, 681, 46, 274 
206, 677, 47, 277 
207, 676, 36, 289 
208, 681, 37, 283 
209, 676, 34, 291 
210, 668, 42, 291 
211, 665, 39, 297 
212, 659, 48, 294 
213, 663, 48, 290 
214, 660, 43, 298 
215, 671, 40, 290 
