Day, Suceptible, Exposed, Infected
0, 1000, 0, 1 
1, 1000, 0, 1 
2, 999, 1, 1 
3, 999, 1, 1 
4, 999, 1, 1 
5, 997, 3, 1 
6, 997, 2, 2 
7, 997, 1, 3 
8, 997, 0, 4 
9, 997, 0, 4 
10, 996, 1, 4 
11, 998, 0, 3 
12, 998, 0, 3 
13, 996, 2, 3 
14, 996, 0, 5 
15, 996, 0, 5 
16, 996, 1, 4 
17, 996, 0, 5 
18, 993, 3, 5 
19, 992, 3, 6 
20, 991, 2, 8 
21, 989, 3, 9 
22, 989, 3, 9 
23, 990, 2, 9 
24, 989, 2, 10 
25, 985, 4, 12 
26, 980, 9, 12 
27, 978, 9, 14 
28, 978, 6, 17 
29, 977, 4, 20 
30, 971, 9, 21 
31, 974, 4, 23 
32, 972, 3, 26 
33, 972, 4, 25 
34, 973, 4, 24 
35, 972, 5, 24 
36, 971, 3, 27 
37, 968, 5, 28 
38, 968, 5, 28 
39, 965, 8, 28 
40, 962, 8, 31 
41, 959, 13, 29 
42, 955, 13, 33 
43, 956, 4, 41 
44, 958, 3, 40 
45, 953, 8, 40 
46, 953, 6, 42 
47, 950, 9, 42 
48, 948, 12, 41 
49, 948, 11, 42 
50, 950, 12, 39 
51, 949, 11, 41 
52, 948, 10, 43 
53, 949, 6, 46 
54, 950, 3, 48 
55, 948, 6, 47 
56, 942, 10, 49 
57, 939, 11, 51 
58, 934, 13, 54 
59, 935, 11, 55 
60, 936, 4, 61 
61, 933, 11, 57 
62, 929, 12, 60 
63, 924, 13, 64 
64, 925, 10, 66 
65, 926, 12, 63 
66, 928, 9, 64 
67, 927, 12, 62 
68, 922, 14, 65 
69, 916, 13, 72 
70, 918, 8, 75 
71, 914, 10, 77 
72, 914, 11, 76 
73, 913, 13, 75 
74, 913, 11, 77 
75, 912, 12, 77 
76, 913, 6, 82 
77, 908, 9, 84 
78, 910, 7, 84 
79, 908, 19, 74 
80, 909, 17, 75 
81, 910, 9, 82 
82, 909, 10, 82 
83, 912, 10, 79 
84, 910, 13, 78 
85, 908, 14, 79 
86, 906, 14, 81 
87, 907, 12, 82 
88, 905, 11, 85 
89, 904, 10, 87 
90, 898, 18, 85 
91, 892, 18, 91 
92, 892, 17, 92 
93, 891, 13, 97 
94, 894, 11, 96 
95, 891, 17, 93 
96, 891, 15, 95 
97, 880, 23, 98 
98, 875, 23, 103 
99, 871, 25, 105 
100, 865, 24, 112 
101, 865, 16, 120 
102, 864, 19, 118 
103, 868, 15, 118 
104, 866, 21, 114 
105, 860, 23, 118 
106, 861, 23, 117 
107, 856, 26, 119 
108, 851, 25, 125 
109, 848, 24, 129 
110, 840, 28, 133 
111, 841, 26, 134 
112, 837, 22, 142 
113, 833, 20, 148 
114, 837, 25, 139 
115, 838, 17, 146 
116, 833, 23, 145 
117, 827, 26, 148 
118, 826, 21, 154 
119, 817, 29, 155 
120, 809, 40, 152 
121, 804, 29, 168 
122, 803, 24, 174 
123, 800, 25, 176 
124, 796, 25, 180 
125, 795, 27, 179 
126, 791, 29, 181 
127, 788, 27, 186 
128, 781, 28, 192 
129, 773, 36, 192 
130, 774, 32, 195 
131, 772, 33, 196 
132, 773, 31, 197 
133, 776, 32, 193 
134, 782, 27, 192 
135, 775, 41, 185 
136, 767, 33, 201 
137, 755, 37, 209 
138, 751, 37, 213 
139, 750, 35, 216 
140, 750, 28, 223 
141, 744, 36, 221 
142, 748, 34, 219 
143, 752, 25, 224 
144, 760, 20, 221 
145, 762, 28, 211 
146, 764, 28, 209 
147, 759, 38, 204 
148, 757, 37, 207 
149, 753, 41, 207 
150, 736, 48, 217 
151, 737, 37, 227 
152, 740, 42, 219 
153, 732, 41, 228 
154, 732, 33, 236 
155, 724, 39, 238 
156, 716, 45, 240 
157, 701, 47, 253 
158, 698, 49, 254 
159, 701, 44, 256 
160, 701, 34, 266 
161, 698, 36, 267 
162, 693, 31, 277 
163, 694, 39, 268 
164, 693, 41, 267 
165, 687, 42, 272 
166, 695, 38, 268 
167, 689, 50, 262 
168, 688, 47, 266 
169, 677, 54, 270 
170, 675, 46, 280 
171, 678, 38, 285 
172, 676, 37, 288 
173, 675, 27, 299 
174, 669, 42, 290 
175, 665, 49, 287 
176, 663, 43, 295 
177, 667, 37, 297 
178, 673, 36, 292 
179, 671, 45, 285 
180, 676, 42, 283 
181, 673, 49, 279 
182, 673, 48, 280 
183, 671, 38, 292 
184, 676, 42, 283 
185, 668, 46, 287 
186, 684, 35, 282 
187, 684, 34, 283 
188, 676, 42, 283 
189, 677, 32, 292 
190, 681, 33, 287 
191, 683, 35, 283 
192, 686, 37, 278 
193, 673, 44, 284 
194, 671, 40, 290 
195, 682, 38, 281 
196, 699, 30, 272 
197, 697, 37, 267 
198, 700, 37, 264 
199, 707, 29, 265 
200, 700, 38, 263 
201, 698, 36, 267 
202, 689, 49, 263 
203, 699, 32, 270 
204, 710, 29, 262 
205, 710, 34, 257 
206, 700, 31, 270 
207, 715, 31, 255 
208, 722, 27, 252 
209, 729, 33, 239 
210, 720, 42, 239 
211, 723, 26, 252 
212, 718, 34, 249 
213, 726, 32, 243 
214, 731, 30, 240 
215, 733, 29, 239 
